GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,AvgMatrixDFSTime_ms,AvgListDFSTime_ms,Algorithm
g_dfs_200_Medium_4,200,4975,19900,Medium,0.25,1.1534999994182726,0.05237499863142148,2.2171000004163943,0.07779180014040321,DFS
g_dfs_200_Medium_5,200,4975,19900,Medium,0.25,1.155333000497194,0.054083999202703126,2.219716399849858,0.07665000011911616,DFS
g_dfs_200_Dense_1,200,11940,19900,Dense,0.6,2.6517499991314253,0.10233300054096617,2.3414169998432044,0.1711498000076972,DFS
g_dfs_200_Dense_2,200,11940,19900,Dense,0.6,2.6821250012289966,0.07954200009407941,2.369441599876154,0.15679180032748263,DFS
g_dfs_200_Dense_3,200,11940,19900,Dense,0.6,2.696707999348291,0.06508300066343509,2.339008199851378,0.17079979988920968,DFS
g_dfs_200_Dense_4,200,11940,19900,Dense,0.6,2.784333000818151,0.07658300091861747,2.2766582005715463,0.1647582004807191,DFS
g_dfs_200_Dense_5,200,11940,19900,Dense,0.6,2.62687500071479,0.07091599945852067,2.265016799719888,0.1669749999564374,DFS
g_dfs_500_Sparse_1,500,6237,124750,Sparse,0.04999599198396794,1.5976659997249953,0.1609999999345746,14.113908200306469,0.15733340005681384,DFS
g_dfs_500_Sparse_2,500,6237,124750,Sparse,0.04999599198396794,1.5727499994682148,0.12720800077659078,14.107649600191507,0.16015000037441496,DFS
g_dfs_500_Sparse_3,500,6237,124750,Sparse,0.04999599198396794,1.6325000015058322,0.84183299986762,14.095216799614718,0.15675840004405472,DFS
g_dfs_500_Sparse_4,500,6237,124750,Sparse,0.04999599198396794,1.543041998957051,0.13966600090498105,14.165841400244972,0.1444249999622116,DFS
g_dfs_500_Sparse_5,500,6237,124750,Sparse,0.04999599198396794,1.6077500004030298,0.15154100037761964,14.074041799540282,0.15970840031513944,DFS
g_dfs_500_Medium_1,500,31187,124750,Medium,0.24999599198396794,7.3805829997581895,0.4732080014946405,14.391616599459667,0.660308200167492,DFS
g_dfs_500_Medium_2,500,31187,124750,Medium,0.24999599198396794,7.706374999543186,0.5175000005692709,14.56642519988236,0.6530748007207876,DFS
g_dfs_500_Medium_3,500,31187,124750,Medium,0.24999599198396794,7.066542000757181,0.44224999874131754,14.548441599617945,0.6697667999105761,DFS
g_dfs_500_Medium_4,500,31187,124750,Medium,0.24999599198396794,7.131833001039922,0.4677079996326938,14.34210039988102,0.6499084003735334,DFS
g_dfs_500_Medium_5,500,31187,124750,Medium,0.24999599198396794,7.295584000530653,0.47566700050083455,14.51434979971964,0.6644328001129907,DFS
g_dfs_500_Dense_1,500,74850,124750,Dense,0.6,17.093083000872866,0.9630410004319856,15.07367539961706,1.4882252002280438,DFS
g_dfs_500_Dense_2,500,74850,124750,Dense,0.6,17.445166999095818,1.0193749985774048,15.278008400127874,1.5035749991511693,DFS
g_dfs_500_Dense_3,500,74850,124750,Dense,0.6,17.07979200000409,0.9945420006260974,15.29055859973596,1.5354253999248613,DFS
g_dfs_500_Dense_4,500,74850,124750,Dense,0.6,17.621542001506896,1.0240829997201217,15.29909960081568,1.5209334003884578,DFS
g_dfs_500_Dense_5,500,74850,124750,Dense,0.6,17.580707999513834,1.0343750000174623,15.36912499977916,1.5279745999578154,DFS
