GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,Matrix_Exec_Time_ms,List_Exec_Time_ms,Algorithm,Algorithm_Name,Algorithm_Type_Code,Best_Representation
g_bfs_500_Dense_1,500,74850.0,124750.0,Dense,0.6,16.982708999421448,0.9718330002215224,15.09515019970422,1.4940166005544595,BFS,BFS,0,1
g_bfs_500_Dense_2,500,74850.0,124750.0,Dense,0.6,17.362874999889755,1.0092080010508653,15.225016599652008,1.506475000132923,BFS,BFS,0,1
g_bfs_500_Dense_3,500,74850.0,124750.0,Dense,0.6,17.82216700121353,1.0167500004172323,15.216450399384485,1.5008665999630466,BFS,BFS,0,1
g_bfs_500_Dense_4,500,74850.0,124750.0,Dense,0.6,17.136458000095445,1.0282089988322696,15.062699999907636,1.541608399929828,BFS,BFS,0,1
g_bfs_500_Dense_5,500,74850.0,124750.0,Dense,0.6,17.618125000808504,0.9843329989962512,15.225916600320488,1.5016834000562085,BFS,BFS,0,1
g_dfs_10_Sparse_1,10,9.0,45.0,Sparse,0.2,0.0875839996297145,0.0035409993870416,0.0068080000346526,0.0011165997420903,DFS,DFS,1,1
g_dfs_10_Sparse_2,10,9.0,45.0,Sparse,0.2,0.0217090000660391,0.0022090007405495,0.00573319994146,0.0008002007234608,DFS,DFS,1,1
g_dfs_10_Sparse_3,10,9.0,45.0,Sparse,0.2,0.0191250001080334,0.0027080004656454,0.0057916004152502,0.0007246002496685,DFS,DFS,1,1
g_dfs_10_Sparse_4,10,9.0,45.0,Sparse,0.2,0.0109579996205866,0.001582999175298,0.0055165997764561,0.0007083999662427,DFS,DFS,1,1
g_dfs_10_Sparse_5,10,9.0,45.0,Sparse,0.2,0.0155830002768198,0.0017920010577654,0.0061500002630054,0.0007749997166683,DFS,DFS,1,1
g_dfs_10_Medium_1,10,11.0,45.0,Medium,0.2444444444444444,0.0156250007421476,0.0021250016288831,0.0067749999288935,0.0007913997251307,DFS,DFS,1,1
g_dfs_10_Medium_2,10,11.0,45.0,Medium,0.2444444444444444,0.0103340007626684,0.0014580000424757,0.0061583996284753,0.0008082010026555,DFS,DFS,1,1
g_dfs_10_Medium_3,10,11.0,45.0,Medium,0.2444444444444444,0.0141659984365105,0.0019580002117436,0.0075666001066565,0.0008332004654221,DFS,DFS,1,1
g_dfs_10_Medium_4,10,11.0,45.0,Medium,0.2444444444444444,0.0097499996627448,0.001332999090664,0.005608200081042,0.0007579998055007,DFS,DFS,1,1
